,Name,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
0,arraial do cabo,-22.9661,-42.0278,87.76,40.0,0.0,23.02,BR,1629999833.0
1,jamsa,61.8642,25.19,56.14,80.0,93.0,11.07,FI,1629999833.0
2,busselton,-33.65,115.3333,47.08,51.0,58.0,17.13,AU,1629999834.0
3,abu samrah,35.3029,37.1841,87.39,27.0,0.0,8.93,SY,1629999834.0
4,ipixuna,-1.7625,-48.8043,85.95,51.0,94.0,4.99,BR,1629999835.0
5,horodyshche,49.2849,31.4451,59.05,97.0,100.0,5.35,UA,1629999835.0
6,mataura,-46.1927,168.8643,42.48,99.0,100.0,1.79,NZ,1629999835.0
7,talcahuano,-36.7167,-73.1167,56.88,58.0,20.0,11.5,CL,1629999836.0
8,bredasdorp,-34.5322,20.0403,52.92,87.0,91.0,18.41,ZA,1629999836.0
9,mahebourg,-20.4081,57.7,70.09,73.0,40.0,10.36,MU,1629999836.0
10,moerai,-22.4333,-151.3333,75.13,78.0,91.0,19.37,PF,1629999837.0
11,muli,2.9167,73.5667,82.58,77.0,55.0,14.43,MV,1629999837.0
12,thompson,55.7435,-97.8558,64.56,42.0,20.0,13.8,CA,1629999838.0
13,diglur,18.55,77.6,76.51,85.0,99.0,5.57,IN,1629999838.0
14,georgetown,5.4112,100.3354,80.89,88.0,20.0,2.3,MY,1629999797.0
15,sao joao da barra,-21.6403,-41.0511,84.29,72.0,0.0,24.23,BR,1629999838.0
16,tuatapere,-46.1333,167.6833,42.82,94.0,100.0,2.82,NZ,1629999839.0
17,ushuaia,-54.8,-68.3,38.86,38.0,0.0,0.0,AR,1629999608.0
18,okahandja,-21.9833,16.9167,79.11,20.0,0.0,14.23,NA,1629999839.0
19,nanortalik,60.1432,-45.2371,46.04,83.0,72.0,16.04,GL,1629999840.0
20,fortuna,40.5982,-124.1573,66.85,81.0,20.0,3.0,US,1629999840.0
21,vaini,-21.2,-175.2,64.56,82.0,75.0,10.36,TO,1629999840.0
22,rikitea,-23.1203,-134.9692,71.58,70.0,59.0,12.41,PF,1629999841.0
23,albany,42.6001,-73.9662,92.14,67.0,90.0,2.04,US,1629999692.0
24,westport,41.1415,-73.3579,96.06,60.0,1.0,1.99,US,1629999841.0
25,bengkulu,-3.8004,102.2655,74.77,88.0,7.0,5.84,ID,1629999842.0
26,saint-philippe,-21.3585,55.7679,69.35,78.0,35.0,14.2,RE,1629999842.0
27,shahrud,36.4182,54.9763,75.78,57.0,9.0,7.11,IR,1629999842.0
28,yar-sale,66.8333,70.8333,43.9,96.0,100.0,14.65,RU,1629999843.0
29,cape town,-33.9258,18.4232,52.21,87.0,90.0,4.0,ZA,1629999264.0
30,saskylakh,71.9167,114.0833,36.73,88.0,100.0,17.16,RU,1629999843.0
31,brownsville,25.9018,-97.4975,93.15,54.0,75.0,11.5,US,1629999844.0
32,punta arenas,-53.15,-70.9167,42.91,65.0,40.0,12.66,CL,1629999844.0
33,new norfolk,-42.7826,147.0587,45.91,90.0,94.0,1.45,AU,1629999844.0
34,tiksi,71.6872,128.8694,41.22,98.0,100.0,15.9,RU,1629999845.0
35,fort nelson,58.8053,-122.7002,58.59,72.0,75.0,0.0,CA,1629999684.0
36,vuktyl,63.8567,57.3094,44.46,93.0,93.0,7.27,RU,1629999845.0
37,isangel,-19.55,169.2667,70.95,76.0,17.0,12.95,VU,1629999845.0
38,hermanus,-34.4187,19.2345,50.81,90.0,90.0,19.86,ZA,1629999781.0
39,souillac,-20.5167,57.5167,70.18,73.0,40.0,10.36,MU,1629999846.0
40,krasnoselkup,65.7,82.4667,61.3,93.0,100.0,17.81,RU,1629999847.0
41,khatanga,71.9667,102.5,34.47,87.0,94.0,3.71,RU,1629999847.0
42,lagoa,39.05,-27.9833,68.97,61.0,50.0,15.19,PT,1629999847.0
43,qaanaaq,19.7297,-155.09,76.8,83.0,75.0,6.91,US,1629999706.0
44,hilo,39.447,-86.1758,91.24,69.0,94.0,1.45,US,1629999848.0
45,bud,-25.2406,130.9889,46.24,36.0,68.0,0.0,AU,1629999848.0
46,yulara,14.8961,-24.4956,77.52,89.0,100.0,9.8,CV,1629999849.0
47,sao filipe,-33.5906,26.891,63.18,86.0,53.0,13.58,ZA,1629999849.0
48,port alfred,20.3467,-74.4958,86.32,65.0,92.0,10.6,CU,1629999849.0
49,baracoa,5.3505,48.5268,78.03,83.0,25.0,23.47,SO,1629999850.0
50,hobyo,26.9167,87.9167,69.53,96.0,100.0,2.55,NP,1629999850.0
51,ilam,38.6105,-122.8692,90.01,15.0,0.0,2.1,US,1629999850.0
52,healdsburg,66.1451,-65.7125,44.6,81.0,75.0,12.66,CA,1629999851.0
53,pangnirtung,42.8,93.45,79.27,17.0,99.0,2.91,CN,1629999851.0
54,hami,-42.8794,147.3294,46.26,95.0,75.0,5.75,AU,1629999559.0
55,hobart,42.0304,-8.1588,72.7,60.0,73.0,2.93,PT,1629999852.0
56,vila,-33.918,25.5701,61.09,82.0,0.0,3.44,ZA,1629999852.0
57,port elizabeth,69.2167,-51.1,44.62,81.0,75.0,4.61,GL,1629999852.0
58,ilulissat,-21.35,165.15,69.44,83.0,34.0,4.79,NC,1629999853.0
